Hole_ID,Y,X,Z,Depth,Hole Path
5D_1737,9678999.951,388849.637, 631.144,14,LINEAR
5D_1541,9679049.866,388849.7669, 630.192,18,LINEAR
5D_1543,9679050.429,388900.24, 625.398,17,LINEAR
5D_1151,9679151.004,388899.0515, 621.236,22,LINEAR
5D_1345,9679099.896,388850.048, 629.455,25,LINEAR
5D_1347,9679100.058,388899.578, 626.648,19,LINEAR
5D_1741,9678999.6,388950.7329, 616.328,20,LINEAR
5D_1545R,9679048.146,388950.1618, 620.269,19,LINEAR
5D_1739,9679000.399,388899.6032, 625.333,19,LINEAR
5D_1149,9679149.975,388849.5763, 626.592,17,LINEAR
5D_2137,9678899.873,389049.1085, 592.362,18,LINEAR
5D_1549,9679050.511,389049.528, 606.600,34,LINEAR
5D_1353,9679100.398,389049.6718, 600.833,17,LINEAR
5D_1153,9679150.03,388949.7829, 613.959,11,LINEAR
5D_1941,9678950.077,389050.1373, 598.018,26.5,LINEAR
5D_1547,9679050.57,388999.8059, 613.624,30,LINEAR
5D_1743,9679001.741,388998.6387, 607.162,28,LINEAR
5D_1745,9679001.813,389050.9634, 606.141,29,LINEAR
5D_2135,9678900.024,389000.2022, 595.290,13,LINEAR
5D_1939,9678948.558,389001.0171, 600.880,25,LINEAR
5D_1155,9679150.185,388999.3359, 596.826,15,LINEAR
5D_1157,9679150.415,389049.1179, 589.336,16,LINEAR
5D_1349,9679100.025,388950.3377, 617.001,17,LINEAR
5D_1351,9679099.428,388999.9637, 607.416,12,LINEAR
5D_2036,9678924.34,388974.964, 603.292,14,LINEAR
5D_1645,9679025.038,389000.1634, 610.733,36.5,LINEAR
5D_2037,9678924.04,389000.0375, 598.032,15,LINEAR
5D_2039,9678924.854,389050.0158, 594.713,36.5,LINEAR
5D_1841,9678973.525,388998.941, 603.573,25.5,LINEAR
5D_1938,9678949.621,388975.3593, 605.566,23,LINEAR
5D_1940R,9678949.674,389025.5951, 599.051,28,LINEAR
5D_1843,9678974.195,389049.889, 601.878,29,LINEAR
5D_1744,9678999.717,389024.9404, 605.681,34,LINEAR
5D_1644,9679024.155,388975.6662, 614.149,30,LINEAR
5D_1742,9678998.322,388978.3138, 610.157,26.5,LINEAR
5D_1840,9678974.524,388975.3193, 607.854,21,LINEAR
5D_1842,9678974.841,389024.8625, 602.538,34,LINEAR
5D_2038,9678926.019,389025.8499, 595.777,20,LINEAR
5D_1544,9679050.051,388925.142, 622.694,15,LINEAR
5D_1647,9679024.449,389048.8338, 607.255,32,LINEAR
5D_1546,9679049.972,388975.6049, 617.040,25,LINEAR
5D_1444,9679073.851,388876.0013, 627.747,18,LINEAR
5D_1548,9679050.392,389024.6915, 609.796,28,LINEAR
5D_1540,9679048.77,388825.7641, 632.025,23,LINEAR
5D_1352,9679100.664,389025.2073, 604.405,13,LINEAR
5D_1451,9679074.967,389050.398, 605.019,30,LINEAR
5D_1254,9679126.226,389025.0703, 598.039,11,LINEAR
5D_1646,9679025.04,389024.9668, 607.826,43,LINEAR
5D_1443,9679075.195,388849.7733, 629.930,22,LINEAR
5D_1253,9679124.629,388999.4904, 600.853,11,LINEAR
5D_1344,9679099.43,388824.8743, 631.709,22,LINEAR
5D_1346,9679099.812,388875.318, 628.004,28,LINEAR
5D_1156,9679150.437,389025.3115, 592.093,13,LINEAR
5D_1449,9679075.248,389000.4769, 612.391,27,LINEAR
5D_1450,9679075.136,389024.9523, 609.280,24,LINEAR
5D_1447,9679076.075,388949.6799, 619.036,17,LINEAR
5D_1446,9679076.408,388924.8082, 622.870,27,LINEAR
5D_1255,9679126.695,389050.7609, 595.062,13,LINEAR
5D_1252,9679124.349,388974.6888, 607.718,13,LINEAR
5D_1248,9679124.263,388874.8902, 627.990,23,LINEAR
5D_1442,9679074.919,388825.8768, 631.750,24,LINEAR
5D_1643,9679025.303,388950.2404, 618.603,20,LINEAR
5D_1348,9679103.513,388921.357, 623.935,19,LINEAR
5D_1642,9679024.894,388924.6269, 622.490,13,LINEAR
5D_1448,9679073.637,388975.5637, 615.598,23,LINEAR
5D_1246,9679124.759,388825.1638, 631.188,24,LINEAR
5D_1247,9679124.852,388850.1068, 628.586,22,LINEAR
5D_1251,9679125.492,388949.7219, 615.970,17,LINEAR
5D_1154,9679149.558,388974.4814, 605.701,16,LINEAR
5D_1350,9679100.394,388975.0715, 611.075,27,LINEAR
5D_1942,9678950.153,389074.9532, 597.843,36,LINEAR
5D_1943,9678950.085,389099.7953, 597.484,31.5,LINEAR
5D_2041,9678924.94,389100.4173, 594.139,29.5,LINEAR
5D_2040,9678925.976,389076.4481, 594.569,30,LINEAR
5D_2138,9678900.093,389075.1901, 591.881,24,LINEAR
5D_2139,9678900.067,389100.0336, 590.206,23,LINEAR
5D_1452,9679074.555,389075.2907, 602.039,25,LINEAR
5D_1453,9679075.937,389100.2557, 599.471,20,LINEAR
5D_1746,9679000.133,389075.235, 604.809,29,LINEAR
5D_1845,9678975.662,389099.9784, 600.576,28,LINEAR
5D_1354R,9679100.092,389074.2281, 597.717,21.5,LINEAR
5D_1844,9678975.495,389075.1383, 601.245,31,LINEAR
5D_1355,9679100.185,389100.0098, 594.636,18,LINEAR
5D_1159,9679150.346,389099.9924, 583.183,11,LINEAR
5D_1257,9679125.158,389099.5877, 589.225,17,LINEAR
5D_1158,9679149.984,389074.8725, 586.509,9.5,LINEAR
5D_1256,9679125.567,389074.6262, 592.546,12,LINEAR
5D_1550,9679050.461,389075.6728, 604.903,24,LINEAR
5D_1649,9679025.299,389100.6968, 603.851,26,LINEAR
5D_1648,9679024.701,389075.0228, 606.171,28,LINEAR
5D_1747,9679000.474,389099.8529, 602.815,28,LINEAR
5D_1551,9679050.399,389100.209, 603.050,24,LINEAR
5D_1245,9679124.957,388799.904, 634.422,22,LINEAR
5D_1343,9679100.151,388799.596, 634.393,23,LINEAR
5D_1441,9679074.635,388800.685, 633.989,19,LINEAR
5D_1539,9679053,388799.474, 633.940,28,LINEAR
